Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
320.1,2.756e+3,1.391e+3,1.365e+3,2.654e-9
320.4,2.948e+3,1.556e+3,1.392e+3,6.246e-9
320.6,3.101e+3,1.678e+3,1.424e+3,1.064e-8
320.9,3.361e+3,1.869e+3,1.491e+3,2.233e-8
321.1,3.542e+3,1.995e+3,1.547e+3,3.524e-8
321.4,3.803e+3,2.166e+3,1.637e+3,6.599e-8
321.6,3.954e+3,2.257e+3,1.697e+3,9.651e-8
321.9,4.116e+3,2.342e+3,1.774e+3,1.612e-7
322.1,4.168e+3,2.359e+3,1.809e+3,2.185e-7
322.4,4.143e+3,2.316e+3,1.827e+3,3.256e-7
322.6,4.054e+3,2.244e+3,1.810e+3,4.090e-7
322.9,3.816e+3,2.080e+3,1.736e+3,5.438e-7
323.1,3.598e+3,1.941e+3,1.657e+3,6.329e-7
323.4,3.208e+3,1.708e+3,1.500e+3,7.506e-7
323.6,2.926e+3,1.546e+3,1.380e+3,8.095e-7
323.9,2.503e+3,1.312e+3,1.192e+3,8.565e-7
324.1,2.239e+3,1.167e+3,1.071e+3,8.560e-7
324.4,1.891e+3,9.782e+2,9.123e+2,8.080e-7
324.6,1.697e+3,8.718e+2,8.250e+2,7.486e-7
324.9,1.466e+3,7.417e+2,7.239e+2,6.309e-7
325.1,1.347e+3,6.730e+2,6.745e+2,5.424e-7
325.4,1.214e+3,5.933e+2,6.204e+2,4.098e-7
325.6,1.147e+3,5.534e+2,5.931e+2,3.289e-7
325.9,1.069e+3,5.103e+2,5.584e+2,2.278e-7
326.1,1.028e+3,4.912e+2,5.364e+2,1.764e-7
