,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
295,220.52,3.345e-10,0,3.345e-10,0
296,220.57,1.459e-09,0,1.459e-09,0
297,220.62,5.819999999999999e-09,0,5.819999999999999e-09,0
298,220.67,2.12e-08,0,2.12e-08,0
299,220.72,7.051e-08,0,7.051e-08,0
300,220.77,2.1399999999999998e-07,0,2.1399999999999998e-07,0
301,220.82,5.919e-07,0,5.919e-07,0
302,220.87,1.491e-06,0,1.491e-06,0
303,220.92,3.418e-06,0,3.418e-06,0
304,220.97,7.124e-06,0,7.124e-06,0
305,221.02,1.35e-05,0,1.35e-05,0
306,221.07,2.33e-05,0,2.33e-05,0
307,221.12,3.682e-05,0,3.682e-05,0
308,221.17,5.408e-05,0,5.408e-05,0
309,221.22,7.651e-05,0,7.651e-05,0
310,221.27,0.0001117,0,0.0001117,0
311,221.32,0.0001831,0,0.0001831,0
312,221.37,0.00034589999999999995,0,0.00034589999999999995,0
313,221.42,0.0007099000000000001,0,0.0007099000000000001,0
314,221.47,0.001469,0,0.001469,0
315,221.52,0.002932,0,0.002932,0
316,221.57,0.00556,0,0.00556,0
317,221.62,0.009996,0,0.009996,0
318,221.67,0.01706,0,0.01706,0
319,221.72,0.027610000000000003,0,0.027610000000000003,0
320,221.77,0.04227,0,0.04227,0
321,221.82,0.060820000000000006,0,0.060820000000000006,0
322,221.87,0.0816,0,0.0816,0
323,221.92,0.1013,0,0.1013,0
324,221.97,0.1157,0,0.1157,0
325,222.02,0.1209,0,0.1209,0
326,222.07,0.1151,0,0.1151,1.1890000000000002e-26
327,222.12,0.09963999999999999,0,0.09963999999999999,1.898e-25
328,222.17,0.07823,0,0.07823,2.425e-24
329,222.22,0.05565,0,0.05565,2.806e-23
330,222.27,0.03584,0,0.03584,2.942e-22
331,222.32,0.020880000000000003,0,0.020880000000000003,2.794e-21
332,222.37,0.011,0,0.011,2.4030000000000003e-20
333,222.42,0.00524,0,0.00524,1.8739999999999999e-19
334,222.47,0.0022559999999999998,0,0.0022559999999999998,1.323e-18
335,222.52,0.0008779,0,0.0008779,8.472000000000001e-18
336,222.57,0.00030869999999999997,0,0.00030869999999999997,4.916e-17
337,222.62,9.81e-05,0,9.81e-05,2.585e-16
338,222.67,2.817e-05,0,2.817e-05,1.2320000000000001e-15
339,222.72,7.309e-06,0,7.309e-06,5.326e-15
340,222.77,1.714e-06,0,1.714e-06,2.087e-14
341,222.82,3.631e-07,0,3.631e-07,7.415e-14
342,222.87,6.950000000000001e-08,0,6.950000000000001e-08,2.389e-13
343,222.92,1.202e-08,0,1.202e-08,6.98e-13
