,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
418,222.62,1.7919999999999997e-24,0,0,1.7919999999999997e-24
419,222.67,4.867e-24,0,0,4.867e-24
420,222.72,1.224e-23,0,0,1.224e-23
421,222.77,2.805e-23,0,0,2.805e-23
422,222.82,5.827e-23,0,0,5.827e-23
423,222.87,1.096e-22,0,0,1.096e-22
424,222.92,1.864e-22,0,0,1.864e-22
425,222.97,2.87e-22,0,0,2.87e-22
426,223.02,3.997e-22,0,0,3.997e-22
427,223.07,5.037e-22,0,0,5.037e-22
428,223.12,5.744e-22,0,0,5.744e-22
429,223.17,5.938e-22,0,0,5.938e-22
430,223.22,5.588e-22,0,0,5.588e-22
431,223.27,4.846999999999999e-22,0,0,4.846999999999999e-22
432,223.32,4.0149999999999997e-22,0,0,4.0149999999999997e-22
433,223.37,3.445e-22,0,0,3.445e-22
434,223.42,3.445e-22,0,0,3.445e-22
435,223.47,4.194e-22,0,0,4.194e-22
436,223.52,5.675e-22,0,0,5.675e-22
437,223.57,7.644e-22,0,0,7.644e-22
438,223.62,9.657000000000002e-22,0,0,9.657000000000002e-22
439,223.67,1.118e-21,0,0,1.118e-21
440,223.72,1.177e-21,0,0,1.177e-21
441,223.77,1.126e-21,0,0,1.126e-21
442,223.82,9.830000000000001e-22,0,0,9.830000000000001e-22
443,223.87,7.973e-22,0,0,7.973e-22
444,223.92,6.294e-22,0,0,6.294e-22
445,223.97,5.367e-22,0,0,5.367e-22
446,224.02,5.621e-22,0,0,5.621e-22
447,224.07,7.376e-22,0,0,7.376e-22
448,224.12,1.108e-21,0,0,1.108e-21
449,224.17,1.806e-21,0,0,1.806e-21
450,224.22,3.2410000000000005e-21,0,0,3.2410000000000005e-21
451,224.27,6.5049999999999994e-21,0,0,6.5049999999999994e-21
452,224.32,1.409e-20,0,0,1.409e-20
453,224.37,3.0880000000000004e-20,0,0,3.0880000000000004e-20
454,224.42,6.501000000000001e-20,0,0,6.501000000000001e-20
455,224.47,1.277e-19,0,0,1.277e-19
456,224.52,2.307e-19,0,0,2.307e-19
457,224.57,3.8130000000000004e-19,0,0,3.8130000000000004e-19
458,224.62,5.752e-19,0,0,5.752e-19
459,224.67,7.915e-19,0,0,7.915e-19
460,224.72,9.937e-19,0,0,9.937e-19
461,224.77,1.139e-18,0,0,1.139e-18
462,224.82,1.192e-18,0,0,1.192e-18
463,224.87,1.1400000000000001e-18,0,0,1.1400000000000001e-18
464,224.92,9.976e-19,0,0,9.976e-19
465,224.97,7.983e-19,0,0,7.983e-19
466,225.02,5.8460000000000005e-19,0,0,5.8460000000000005e-19
467,225.07,3.9179999999999996e-19,0,0,3.9179999999999996e-19
468,225.12,2.4020000000000003e-19,0,0,2.4020000000000003e-19
469,225.17,1.3470000000000002e-19,0,0,1.3470000000000002e-19
470,225.22,6.908e-20,0,0,6.908e-20
471,225.27,3.237e-20,0,0,3.237e-20
472,225.32,1.385e-20,0,0,1.385e-20
473,225.37,5.424e-21,0,0,5.424e-21
