,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
1511,480.56,1.971e-06,1.971e-06,0
1512,480.61,9.623e-07,9.623e-07,0
1513,480.66,4.596e-07,4.596e-07,0
1514,480.71,2.148e-07,2.148e-07,0
1515,480.76,9.822000000000002e-08,9.822000000000002e-08,0
1516,480.81,4.394e-08,4.394e-08,0
1517,480.86,1.9240000000000002e-08,1.9240000000000002e-08,0
1518,480.91,8.239e-09,8.239e-09,0
1519,480.96,3.453e-09,3.453e-09,0
1520,481.01,1.416e-09,1.416e-09,0
1521,481.06,5.68e-10,5.68e-10,0
1522,481.11,2.23e-10,2.23e-10,0
1523,481.16,8.564e-11,8.564e-11,0
1524,481.21,3.218e-11,3.218e-11,0
1525,481.26,1.183e-11,1.183e-11,0
1526,481.31,4.258e-12,4.258e-12,0
1527,481.36,1.4990000000000002e-12,1.4990000000000002e-12,0
1528,481.41,5.162e-13,5.162e-13,0
1529,481.46,1.74e-13,1.74e-13,0
1530,481.51,5.736000000000001e-14,5.736000000000001e-14,0
1531,481.56,1.8509999999999998e-14,1.8509999999999998e-14,0
1532,481.61,5.842e-15,5.842e-15,0
1533,481.66,1.8039999999999997e-15,1.8039999999999997e-15,0
1534,481.71,5.452000000000001e-16,5.452000000000001e-16,0
1535,481.76,1.6119999999999999e-16,1.6119999999999999e-16,0
1536,481.81,4.664e-17,4.664e-17,0
1537,483.96,8.400000000000001e-20,8.400000000000001e-20,0
1538,484.01,2.873e-19,2.873e-19,0
1539,484.06,9.618000000000002e-19,9.618000000000002e-19,0
1540,484.11,3.153e-18,3.153e-18,0
1541,484.16,1.012e-17,1.012e-17,0
1542,484.21,3.182e-17,3.182e-17,0
1543,484.26,9.792e-17,9.792e-17,0
1544,484.31,2.951e-16,2.951e-16,0
1545,484.36,8.706e-16,8.706e-16,0
1546,484.41,2.515e-15,2.515e-15,0
1547,484.46,7.114e-15,7.114e-15,0
1548,484.51,1.97e-14,1.97e-14,0
1549,484.56,5.342999999999999e-14,5.342999999999999e-14,0
1550,484.61,1.419e-13,1.419e-13,0
1551,484.66,3.688e-13,3.688e-13,0
1552,484.71,9.388e-13,9.388e-13,0
1553,484.76,2.34e-12,2.34e-12,0
1554,484.81,5.71e-12,5.71e-12,0
1555,484.86,1.364e-11,1.364e-11,0
1556,484.91,3.192e-11,3.192e-11,0
1557,484.96,7.312e-11,7.312e-11,0
1558,485.01,1.64e-10,1.64e-10,0
1559,485.06,3.6019999999999996e-10,3.6019999999999996e-10,0
1560,485.11,7.743999999999999e-10,7.743999999999999e-10,0
1561,485.16,1.6300000000000002e-09,1.6300000000000002e-09,0
1562,485.21,3.3610000000000003e-09,3.3610000000000003e-09,0
1563,485.26,6.784e-09,6.784e-09,0
1564,485.31,1.3409999999999999e-08,1.3409999999999999e-08,0
1565,485.36,2.595e-08,2.595e-08,0
1566,485.41,4.9160000000000005e-08,4.9160000000000005e-08,0
1567,485.46,9.12e-08,9.12e-08,0
1568,485.51,1.6559999999999997e-07,1.6559999999999997e-07,0
1569,485.56,2.946e-07,2.946e-07,0
1570,485.61,5.13e-07,5.13e-07,0
1571,485.66,8.747e-07,8.747e-07,0
1572,485.71,1.46e-06,1.46e-06,0
1573,485.76,2.3869999999999998e-06,2.3869999999999998e-06,0
1574,485.81,3.821e-06,3.821e-06,0
1575,485.86,5.9870000000000004e-06,5.9870000000000004e-06,0
1576,485.91,9.187e-06,9.187e-06,0
1577,485.96,1.38e-05,1.38e-05,0
1578,486.01,2.03e-05,2.03e-05,0
1579,486.06,2.924e-05,2.924e-05,0
1580,486.11,4.124e-05,4.124e-05,0
1581,486.16,5.695e-05,5.695e-05,0
1582,486.21,7.7e-05,7.7e-05,0
1583,486.26,0.00010190000000000001,0.00010190000000000001,0
1584,486.31,0.00013209999999999999,0.00013209999999999999,0
1585,486.36,0.00016769999999999998,0.00016769999999999998,0
1586,486.41,0.0002084,0.0002084,0
1587,486.46,0.00025350000000000004,0.00025350000000000004,0
1588,486.51,0.000302,0.000302,0
1589,486.56,0.0003523,0.0003523,0
1590,486.61,0.00040229999999999997,0.00040229999999999997,0
1591,486.66,0.0004499,0.0004499,0
1592,486.71,0.0004926,0.0004926,0
1593,486.76,0.0005281000000000001,0.0005281000000000001,0
1594,486.81,0.0005543999999999999,0.0005543999999999999,0
1595,486.86,0.0005698,0.0005698,0
1596,486.91,0.0005734,0.0005734,0
1597,486.96,0.0005650000000000001,0.0005650000000000001,0
1598,487.01,0.0005451000000000001,0.0005451000000000001,0
1599,487.06,0.0005149,0.0005149,0
1600,487.11,0.0004763,0.0004763,0
1601,487.16,0.00043129999999999997,0.00043129999999999997,0
1602,487.21,0.00038250000000000003,0.00038250000000000003,0
1603,487.26,0.0003321,0.0003321,0
1604,487.31,0.0002823,0.0002823,0
1605,487.36,0.00023500000000000002,0.00023500000000000002,0
1606,487.41,0.0001915,0.0001915,0
1607,487.46,0.0001528,0.0001528,0
1608,487.51,0.00011939999999999999,0.00011939999999999999,0
1609,487.56,9.134e-05,9.134e-05,0
1610,487.61,6.842e-05,6.842e-05,0
1611,487.66,5.018e-05,5.018e-05,0
1612,487.71,3.603e-05,3.603e-05,0
1613,487.76,2.534e-05,2.534e-05,0
1614,487.81,1.744e-05,1.744e-05,0
1615,487.86,1.176e-05,1.176e-05,0
1616,487.91,7.761e-06,7.761e-06,0
1617,487.96,5.015e-06,5.015e-06,0
1618,488.01,3.173e-06,3.173e-06,0
1619,488.06,1.966e-06,1.966e-06,0
1620,488.11,1.193e-06,1.193e-06,0
1621,488.16,7.084000000000001e-07,7.084000000000001e-07,0
1622,488.21,4.1200000000000004e-07,4.1200000000000004e-07,0
1623,488.26,2.346e-07,2.346e-07,0
1624,488.31,1.308e-07,1.308e-07,0
1625,488.36,7.139999999999999e-08,7.139999999999999e-08,0
1626,488.41,3.817e-08,3.817e-08,0
1627,488.46,1.997e-08,1.997e-08,0
1628,488.51,1.0240000000000001e-08,1.0240000000000001e-08,0
1629,488.56,5.136e-09,5.136e-09,0
