,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3622,408.88,2.291e-10,0,2.291e-10,2.5029999999999997e-40
3623,408.93,2.1000000000000002e-10,0,2.1000000000000002e-10,1.462e-40
3624,408.98,1.8690000000000002e-10,0,1.8690000000000002e-10,8.288999999999998e-41
3625,409.03,1.614e-10,0,1.614e-10,4.56e-41
3626,409.08,1.3530000000000001e-10,0,1.3530000000000001e-10,2.434e-41
3627,409.13,1.1e-10,0,1.1e-10,1.2609999999999998e-41
3628,409.18,8.687e-11,0,8.687e-11,6.337999999999999e-42
3629,409.23,6.656e-11,0,6.656e-11,3.092e-42
3630,409.28,4.949e-11,0,4.949e-11,1.463e-42
3631,409.33,3.572e-11,0,3.572e-11,6.723000000000001e-43
3632,409.38,2.5019999999999998e-11,0,2.5019999999999998e-11,2.997e-43
3633,409.43,1.7e-11,0,1.7e-11,1.296e-43
3634,409.48,1.1220000000000001e-11,0,1.1220000000000001e-11,5.441999999999999e-44
3635,409.53,7.182e-12,0,7.182e-12,2.2169999999999999e-44
3636,409.58,4.463e-12,0,4.463e-12,8.763e-45
3637,409.63,2.6910000000000005e-12,0,2.6910000000000005e-12,3.362e-45
3638,409.68,1.575e-12,0,1.575e-12,1.2509999999999998e-45
3639,409.73,8.948e-13,0,8.948e-13,4.521e-46
3640,409.78,4.933e-13,0,4.933e-13,1.5849999999999999e-46
3641,409.83,2.641e-13,0,2.641e-13,5.390999999999999e-47
3642,409.88,1.374e-13,0,1.374e-13,1.78e-47
3643,409.93,6.988e-14,0,6.988e-14,5.701e-48
3644,409.98,3.565e-14,0,3.565e-14,1.7719999999999996e-48
3645,410.03,2.0230000000000003e-14,0,2.0230000000000003e-14,5.346999999999999e-49
3646,410.08,1.652e-14,0,1.652e-14,1.5649999999999998e-49
3647,410.13,2.258e-14,0,2.258e-14,4.4459999999999995e-50
3648,410.18,4.096e-14,0,4.096e-14,1.226e-50
3649,410.23,7.929e-14,0,7.929e-14,3.278999999999999e-51
3650,410.28,1.523e-13,0,1.523e-13,8.513e-52
3651,410.33,2.854e-13,0,2.854e-13,2.145e-52
3652,410.38,5.199e-13,0,5.199e-13,5.243e-53
3653,410.43,9.194e-13,0,9.194e-13,1.244e-53
3654,410.48,1.5789999999999998e-12,0,1.5789999999999998e-12,2.8639999999999996e-54
3655,410.53,2.6319999999999993e-12,0,2.6319999999999993e-12,0
