Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
597.79,1.892e-1,,1.892e-1,
597.84,1.593e-1,,1.593e-1,
597.89,1.322e-1,,1.322e-1,
597.94,1.082e-1,,1.082e-1,
597.99,8.728e-2,,8.728e-2,
598.04,6.945e-2,,6.945e-2,
598.09,5.450e-2,,5.450e-2,
598.14,4.217e-2,,4.217e-2,
598.19,3.218e-2,,3.218e-2,
598.24,2.422e-2,,2.422e-2,
598.29,1.799e-2,,1.799e-2,
598.34,1.319e-2,,1.319e-2,
598.39,9.563e-3,,9.563e-3,
598.44,6.877e-3,,6.877e-3,
598.49,4.938e-3,,4.938e-3,
598.54,3.589e-3,,3.589e-3,
598.59,2.705e-3,,2.705e-3,
598.64,2.196e-3,,2.196e-3,
598.69,2.001e-3,,2.001e-3,
598.74,2.085e-3,,2.085e-3,
598.79,2.436e-3,,2.436e-3,
598.84,3.062e-3,,3.062e-3,
598.89,3.988e-3,,3.988e-3,
598.94,5.254e-3,,5.254e-3,
598.99,6.910e-3,,6.910e-3,
599.04,9.015e-3,,9.015e-3,
599.09,1.163e-2,,1.163e-2,
599.14,1.481e-2,,1.481e-2,
599.19,1.862e-2,,1.862e-2,
599.24,2.309e-2,,2.309e-2,
599.29,2.824e-2,,2.824e-2,
599.34,3.406e-2,,3.406e-2,
599.39,4.052e-2,,4.052e-2,
599.44,4.753e-2,,4.753e-2,
599.49,5.500e-2,,5.500e-2,
599.54,6.275e-2,,6.275e-2,
599.59,7.062e-2,,7.062e-2,
599.64,7.837e-2,,7.837e-2,
599.69,8.577e-2,,8.577e-2,
599.74,9.258e-2,,9.258e-2,
599.79,9.856e-2,,9.856e-2,
599.84,1.035e-1,,1.035e-1,
599.89,1.071e-1,,1.071e-1,
599.94,1.094e-1,,1.094e-1,
