Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
249.83,5.870e+0,5.808e+0,6.213e-2
249.88,2.242e+0,2.056e+0,1.861e-1
249.93,1.256e+0,6.714e-1,5.843e-1
249.98,1.912e+0,2.023e-1,1.710e+0
250.03,4.681e+0,5.625e-2,4.625e+0
250.08,1.157e+1,1.443e-2,1.155e+1
250.13,2.665e+1,3.415e-3,2.665e+1
250.18,5.676e+1,7.458e-4,5.676e+1
250.23,1.117e+2,1.503e-4,1.117e+2
250.28,2.028e+2,2.793e-5,2.028e+2
250.33,3.403e+2,4.791e-6,3.403e+2
250.38,5.272e+2,7.582e-7,5.272e+2
250.43,7.543e+2,1.107e-7,7.543e+2
250.48,9.967e+2,1.491e-8,9.967e+2
250.53,1.216e+3,1.854e-9,1.216e+3
250.58,1.370e+3,2.126e-10,1.370e+3
250.63,1.426e+3,2.250e-11,1.426e+3
250.68,1.370e+3,2.196e-12,1.370e+3
250.73,1.216e+3,1.978e-13,1.216e+3
250.78,9.967e+2,,9.967e+2
250.83,7.543e+2,,7.543e+2
250.88,5.272e+2,,5.272e+2
250.93,3.403e+2,,3.403e+2
250.98,2.028e+2,,2.028e+2
251.03,1.117e+2,,1.117e+2
251.08,5.676e+1,,5.676e+1
251.13,2.665e+1,,2.665e+1
251.18,1.155e+1,,1.155e+1
251.23,4.625e+0,,4.625e+0
251.28,1.710e+0,,1.710e+0
251.33,5.838e-1,,5.838e-1
251.38,1.841e-1,,1.841e-1
251.43,5.360e-2,,5.360e-2
251.48,1.441e-2,,1.441e-2
251.53,3.580e-3,,3.580e-3
251.58,8.241e-4,,8.241e-4
251.63,1.907e-4,,1.907e-4
251.68,1.154e-4,,1.154e-4
251.73,3.695e-4,,3.695e-4
251.78,1.501e-3,,1.501e-3
251.83,5.727e-3,,5.727e-3
251.88,2.022e-2,,2.022e-2
251.93,6.600e-2,,6.600e-2
251.98,1.993e-1,,1.993e-1
252.03,5.567e-1,,5.567e-1
252.08,1.439e+0,,1.439e+0
252.13,3.441e+0,,3.441e+0
252.18,7.620e+0,,7.620e+0
252.23,1.564e+1,,1.564e+1
252.28,2.976e+1,,2.976e+1
252.33,5.262e+1,,5.262e+1
252.38,8.661e+1,,8.661e+1
252.43,1.332e+2,,1.332e+2
252.48,1.920e+2,,1.920e+2
252.53,2.612e+2,,2.612e+2
