Wavelength,Sum
361.79,1260
361.83,2426
361.87,1074
361.92,2101
361.96,1041
362,2020
362.04,979
362.09,1941
362.13,534
362.17,1862
362.22,950
362.26,2173
362.3,718
362.35,1603
362.39,659
362.43,1753
362.47,1098
362.52,1697
362.56,569
362.6,1329
362.65,622
362.69,1567
362.73,736
362.78,1244
362.82,508
362.86,1257
362.9,459
362.95,1590
362.99,666
363.03,1332
363.08,510
363.12,857
363.16,487
363.21,951
363.25,624
363.29,753
363.33,306
363.38,1515
363.42,229
363.46,454
363.51,476
363.55,1263
363.59,287
363.63,922
363.68,345
363.72,1426
363.76,295
363.81,917
363.85,147
363.89,990
363.93,247
363.98,1111
364.02,336
364.06,1127
364.11,239
364.15,1153
364.19,149
364.23,982
364.28,621
364.32,747
364.36,240
364.41,1036
364.45,311
364.49,1218
364.53,269
364.58,942
364.62,250
364.66,797
364.71,485
364.75,688
364.79,245
364.83,917
364.88,330
364.92,872
364.96,334
365,1216
365.05,492
365.09,1033
365.13,646
365.18,1409
365.22,380
365.26,642
365.3,250
365.35,829
365.39,352
365.43,1042
365.47,217
365.52,721
365.56,128
365.6,1096
365.65,199
365.69,1058
365.73,212
365.77,688
365.82,310
365.86,869
365.9,731
365.94,646
365.99,120
366.03,839
366.07,354
366.12,937
366.16,217
366.2,544
366.24,279
366.29,881
366.33,254
366.37,960
366.41,176
366.46,1101
366.5,134
366.54,773
366.58,226
366.63,638
366.67,200
366.71,455
366.75,124
366.8,1133
366.84,263
366.88,464
366.92,101
366.97,996
367.01,100
367.05,521
367.1,278
367.14,786
367.18,182
367.22,820
367.27,130
367.31,555
367.35,297
367.39,743
367.44,74
367.48,593
367.52,171
367.56,568
367.61,141
367.65,633
367.69,294
367.73,681
367.78,180
367.82,708
367.86,40
367.9,571
367.95,184
367.99,620
368.03,122
368.07,298
368.12,95
368.16,846
368.2,156
368.24,365
368.29,141
368.33,493
368.37,157
368.41,500
368.46,96
368.5,310
368.54,200
368.58,486
368.62,302
368.67,528
368.71,101
368.75,302
368.79,165
368.84,583
368.88,192
368.92,440
368.96,165
369.01,530
369.05,179
369.09,708
369.13,34
369.18,818
369.22,155
369.26,621
369.3,76
369.35,461
369.39,133
369.43,455
369.47,192
369.51,302
369.56,56
369.6,468
369.64,27
369.68,292
369.73,77
369.77,402
369.81,246
369.85,565
369.9,90
369.94,306
369.98,63
370.02,489
370.06,112
370.11,377
370.15,155
370.19,423
370.23,122
370.28,450
370.32,144
370.36,423
370.4,85
370.44,595
370.49,139
370.53,444
370.57,45
370.61,228
370.66,101
370.7,369
370.74,74
370.78,244
370.82,84
370.87,532
370.91,50
370.95,255
370.99,46
371.04,398
371.08,98
371.12,491
371.16,75
371.2,337
371.25,123
371.29,109
371.33,71
371.37,259
371.42,88
371.46,189
371.5,86
371.54,291
371.58,109
371.63,184
371.67,106
371.71,257
371.75,-7
371.79,542
371.84,66
371.88,175
371.92,2
371.96,88
372,25
372.05,321
372.09,57
372.13,247
372.17,12
372.22,242
372.26,2
372.3,168
372.34,85
372.38,206
372.43,25
372.47,147
372.51,12
372.55,198
372.59,-3
372.64,184
372.68,-19
372.72,248
372.76,59
372.8,138
372.85,80
372.89,218
372.93,54
372.97,91
373.01,53
373.06,82
373.1,33
373.14,107
373.18,17
373.22,84
373.27,23
373.31,72
373.35,25
373.39,74
373.43,26
373.48,51
373.52,66
373.56,108
373.6,35
373.64,17
373.68,55
373.73,7
373.77,-56
373.81,5
373.85,-4
373.89,111
347.36,-82
347.53,-20
347.7,-25
347.86,32
348.03,-15.33333333
348.2,-7.111111111
348.37,-2.888888889
348.53,1
348.7,-2
348.87,-10.33333333
349.03,-10.44444444
349.2,-9.444444444
349.37,-17.22222222
349.54,-18.11111111
349.7,-16.44444444
349.87,-26.11111111
350.04,-13.77777778
350.21,-21.11111111
350.37,-2.666666667
350.54,13.22222222
350.71,10.88888889
350.87,12.33333333
351.04,12.33333333
351.21,13.77777778
351.38,13.55555556
351.54,-11.44444444
351.71,2.888888889
351.88,2.222222222
352.04,-0.111111111
352.21,-5
352.38,-1.888888889
352.55,-2.111111111
352.71,-6.444444444
352.88,6.777777778
353.05,12.55555556
353.22,11.22222222
